#FrameNumber | Time | (X,Y) | wake/sleep
41 | 2019-01-25 17:59:13.171437 | 217,176 | wake
42 | 2019-01-25 17:59:13.201744 | 222,178 | wake
43 | 2019-01-25 17:59:13.208511 | 222,178 | wake
44 | 2019-01-25 17:59:13.212269 | 217,177 | wake
45 | 2019-01-25 17:59:13.238563 | 211,178 | wake
46 | 2019-01-25 17:59:13.245308 | 233,183 | wake
47 | 2019-01-25 17:59:13.270620 | 236,185 | wake
48 | 2019-01-25 17:59:13.277130 | 236,185 | wake
49 | 2019-01-25 17:59:13.300553 | 236,185 | wake
50 | 2019-01-25 17:59:13.304496 | 231,181 | wake
51 | 2019-01-25 17:59:13.311618 | 230,180 | wake
52 | 2019-01-25 17:59:13.337352 | 223,184 | wake
53 | 2019-01-25 17:59:13.344079 | 222,191 | wake
54 | 2019-01-25 17:59:13.369247 | 223,190 | wake
55 | 2019-01-25 17:59:13.375889 | 220,182 | wake
56 | 2019-01-25 17:59:13.400709 | 215,181 | wake
57 | 2019-01-25 17:59:13.407300 | 216,182 | wake
58 | 2019-01-25 17:59:13.433624 | 219,183 | wake
59 | 2019-01-25 17:59:13.440497 | 217,186 | wake
60 | 2019-01-25 17:59:13.467613 | 218,187 | wake
61 | 2019-01-25 17:59:13.474361 | 223,181 | wake
62 | 2019-01-25 17:59:13.500746 | 226,179 | wake
63 | 2019-01-25 17:59:13.507568 | 215,185 | wake
64 | 2019-01-25 17:59:13.534145 | 216,185 | wake
65 | 2019-01-25 17:59:13.540692 | 217,186 | wake
66 | 2019-01-25 17:59:13.568264 | 233,181 | wake
67 | 2019-01-25 17:59:13.575079 | 234,182 | wake
68 | 2019-01-25 17:59:13.599729 | 223,187 | wake
69 | 2019-01-25 17:59:13.606260 | 224,183 | wake
70 | 2019-01-25 17:59:13.613426 | 237,175 | wake
71 | 2019-01-25 17:59:13.638657 | 240,174 | wake
72 | 2019-01-25 17:59:13.645235 | 236,184 | wake
73 | 2019-01-25 17:59:13.670355 | 237,182 | wake
74 | 2019-01-25 17:59:13.677055 | 237,187 | wake
75 | 2019-01-25 17:59:13.701445 | 234,190 | wake
76 | 2019-01-25 17:59:13.710304 | 237,196 | wake
77 | 2019-01-25 17:59:13.737746 | 236,200 | wake
78 | 2019-01-25 17:59:13.744773 | 230,202 | wake
79 | 2019-01-25 17:59:13.770298 | 229,201 | wake
80 | 2019-01-25 17:59:13.777184 | 224,200 | wake
81 | 2019-01-25 17:59:13.802471 | 233,202 | wake
82 | 2019-01-25 17:59:13.809190 | 233,204 | wake
83 | 2019-01-25 17:59:13.834077 | 231,203 | wake
84 | 2019-01-25 17:59:13.841233 | 231,199 | wake
85 | 2019-01-25 17:59:13.865245 | 232,197 | wake
86 | 2019-01-25 17:59:13.871972 | 233,193 | wake
87 | 2019-01-25 17:59:13.879280 | 234,190 | wake
88 | 2019-01-25 17:59:13.905344 | 239,193 | wake
89 | 2019-01-25 17:59:13.912515 | 240,192 | wake
90 | 2019-01-25 17:59:13.938369 | 231,191 | wake
91 | 2019-01-25 17:59:13.945181 | 231,191 | wake
92 | 2019-01-25 17:59:13.966571 | 223,196 | wake
93 | 2019-01-25 17:59:13.973434 | 226,197 | wake
94 | 2019-01-25 17:59:14.000138 | 234,194 | wake
95 | 2019-01-25 17:59:14.007522 | 234,194 | wake
96 | 2019-01-25 17:59:14.011551 | 234,194 | wake
97 | 2019-01-25 17:59:14.034480 | 221,198 | wake
98 | 2019-01-25 17:59:14.041471 | 221,198 | wake
99 | 2019-01-25 17:59:14.045786 | 221,198 | wake
100 | 2019-01-25 17:59:14.069349 | 221,198 | wake
101 | 2019-01-25 17:59:14.073348 | 225,195 | wake
102 | 2019-01-25 17:59:14.099732 | 230,198 | wake
103 | 2019-01-25 17:59:14.106495 | 241,194 | wake
104 | 2019-01-25 17:59:14.113597 | 231,198 | wake
105 | 2019-01-25 17:59:14.140643 | 225,203 | wake
106 | 2019-01-25 17:59:14.167212 | 226,202 | wake
107 | 2019-01-25 17:59:14.174138 | 235,198 | wake
108 | 2019-01-25 17:59:14.200638 | 233,201 | wake
109 | 2019-01-25 17:59:14.207250 | 225,201 | wake
110 | 2019-01-25 17:59:14.233902 | 225,201 | wake
111 | 2019-01-25 17:59:14.237820 | 225,201 | wake
112 | 2019-01-25 17:59:14.242016 | 225,201 | wake
113 | 2019-01-25 17:59:14.245996 | 225,201 | wake
114 | 2019-01-25 17:59:14.268697 | 227,198 | wake
115 | 2019-01-25 17:59:14.275549 | 229,198 | wake
116 | 2019-01-25 17:59:14.301529 | 229,198 | wake
117 | 2019-01-25 17:59:14.305492 | 229,198 | wake
118 | 2019-01-25 17:59:14.309697 | 217,206 | wake
119 | 2019-01-25 17:59:14.336654 | 214,205 | wake
120 | 2019-01-25 17:59:14.343539 | 214,205 | wake
121 | 2019-01-25 17:59:14.368436 | 214,205 | wake
122 | 2019-01-25 17:59:14.372322 | 214,205 | wake
123 | 2019-01-25 17:59:14.376020 | 214,205 | wake
124 | 2019-01-25 17:59:14.380043 | 214,205 | wake
125 | 2019-01-25 17:59:14.402720 | 218,206 | wake
126 | 2019-01-25 17:59:14.409573 | 220,207 | wake
127 | 2019-01-25 17:59:14.435209 | 229,203 | wake
128 | 2019-01-25 17:59:14.442033 | 230,205 | wake
129 | 2019-01-25 17:59:14.468416 | 232,205 | wake
130 | 2019-01-25 17:59:14.475398 | 233,209 | wake
131 | 2019-01-25 17:59:14.501112 | 235,213 | wake
132 | 2019-01-25 17:59:14.508448 | 238,211 | wake
133 | 2019-01-25 17:59:14.533656 | 241,204 | wake
134 | 2019-01-25 17:59:14.540382 | 239,207 | wake
